# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	80061
#@/user_id	24769514-98c0-4d1f-9fa1-759af48b6715
a 	呵	c=1 d=1 t=45232
ren lei 	人类	c=2 d=1.12124 t=56080
ren lian 	人脸	c=1 d=1.47467e-11 t=17463
ren min 	人民	c=2 d=1.02497 t=43042
ren ming cheng 	人名称	c=1 d=1 t=43079
ren ne 	人呢	c=4 d=1 t=45720
ren ren 	忍忍	c=4 d=1 t=77016
ren ren ba 	忍忍吧	c=1 d=1 t=65361
ren shao 	人少	c=1 d=1 t=22552
ren shen guo 	人参果	c=2 d=1.99005 t=50516
ren sheng 	人生	c=4 d=1 t=41438
ren shi 	人事	c=5 d=4.08544 t=73332
ren shi 	认识	c=5 d=1.47473 t=31478
ren shi jian 	人世间	c=1 d=1 t=67151
ren shu 	人数	c=12 d=2.86728 t=73797
ren shu rang 	人数让	c=1 d=1 t=31340
ren tai duo 	人太多	c=1 d=1 t=41858
ren wang 	仁王	c=1 d=1 t=21536
ren wei 	认为	c=2 d=2.80927e-05 t=17463
ren wei shi 	认为是	c=1 d=1 t=65492
ren wu 	任务	c=32 d=1 t=76534
ren wu lan 	任务栏	c=1 d=1 t=47040
ren xin 	忍心	c=1 d=3.33211e-13 t=17463
ren xing hua 	人性化	c=1 d=1 t=60607
ren yi 	任意	c=13 d=1 t=68416
ren yi yi ge 	任意一个	c=1 d=1 t=26307
ren yuan 	人员	c=4 d=1 t=75597
ren zhe 	忍者	c=1 d=1 t=18395
ren zheng 	认证	c=15 d=5.64996 t=71892
ren zhong 	人种	c=16 d=5.36746 t=56118
ri 	日	c=24 d=1 t=75144
ri ben 	日本	c=2 d=1 t=43587
ri chang 	日常	c=2 d=1 t=54347
ri fu 	日复	c=1 d=8.1379e-18 t=17463
ri hou 	日后	c=0 d=3.80582e-19 t=17463
ri hou zi 	日后子	c=1 d=3.8249e-18 t=17463
ri li 	日历	c=11 d=1 t=57532
ri lun 	日轮	c=1 d=1 t=17650
ri me 	日么	c=1 d=1 t=43604
ri qi 	日期	c=35 d=1.01116 t=73759
ri zhi 	日志	c=42 d=3.39542 t=78916
ri zhi shu chu 	日志输出	c=1 d=3.80582e-18 t=17463
ri zi 	日子	c=3 d=1 t=75935
ri zu ka 	日祖卡	c=1 d=1 t=16444
rong liang 	容量	c=1 d=1 t=40895
rong qi 	容器	c=56 d=1.00006 t=79911
rong qi zhong 	容器中	c=3 d=2.06309 t=74444
rong yi 	容易	c=4 d=1.90032 t=58538
rong yi de 	容易得	c=1 d=1 t=77331
rong yu 	冗余	c=2 d=1.11361 t=66393
rong zi 	融资	c=2 d=1 t=35654
rou 	肉	c=2 d=1 t=42984
rou jia mo 	肉夹馍	c=2 d=1 t=65384
rou rou 	揉揉	c=1 d=1 t=74636
rou rou 	肉肉	c=3 d=1 t=27643
rou ti 	肉体	c=0 d=0.1 t=74306
rou ti na qi 	肉体拿起	c=1 d=1 t=74307
rou zhuang 	肉装	c=1 d=1 t=41971
ru 	入	c=3 d=1 t=78105
ru 	如	c=23 d=1.22879 t=71878
ru ai 	乳癌	c=0 d=0.1 t=54335
ru ai jian jian 	乳癌渐渐	c=1 d=1 t=54336
ru can 	如参	c=1 d=1 t=78101
ru ci 	如此	c=2 d=1.07047e-25 t=17463
ru de 	入的	c=0 d=7.08077e-29 t=17463
ru guo 	如果	c=58 d=1.11379 t=74392
ru he 	如何	c=104 d=1.01018 t=77898
ru keng 	入坑	c=1 d=8.68295e-16 t=17463
ru kou 	入口	c=9 d=1 t=72895
ru ku 	入库	c=18 d=0.969841 t=78036
ru ku dan 	入库单	c=2 d=1.84366 t=76244
ru ku guan li 	入库管理	c=1 d=1 t=75358
ru lai fo 	如来佛	c=1 d=1 t=69824
ru men 	入门	c=3 d=1 t=74221
ru mi 	入迷	c=1 d=1 t=47052
ru shi 	如实	c=2 d=3.00877e-18 t=17463
ru shi jiao dai 	如实交代	c=1 d=3.27682e-22 t=17463
ru shou 	入手	c=2 d=1 t=40798
ru tou 	乳头	c=1 d=1 t=21652
ru tu 	如图	c=5 d=1 t=68700
ru wei 	入味	c=1 d=7.38128e-17 t=17463
ru xia 	如下	c=9 d=1.00388 t=71279
ru xia tu 	如下图	c=2 d=1.56836 t=68541
ru you 	如有	c=1 d=1 t=33979
ru zhang 	入账	c=7 d=3.23469 t=25702
ru zhi 	入职	c=5 d=1.98038 t=75195
ru zhi qian 	入职前	c=1 d=1 t=44090
ru zhi tong zhi shu 	入职通知书	c=1 d=1 t=39705
ruan 	软	c=0 d=0.1 t=21622
ruan chuang 	软床	c=1 d=1 t=40662
ruan jian 	软件	c=90 d=1 t=79280
ruan jian an 	软件俺	c=1 d=1 t=66677
ruan jian bao 	软件包	c=2 d=1 t=78937
ruan jian ku 	软件库	c=1 d=1 t=22789
ruan jian yuan 	软件源	c=3 d=1 t=47815
ruan lian jie 	软链接	c=6 d=4.22121 t=60897
ruan lu you 	软路由	c=6 d=1 t=55396
ruan pan 	软盘	c=1 d=1 t=17685
ruan sha shang 	软杀伤	c=0 d=0.1 t=41289
ruan sha shang gou 	软杀伤狗	c=1 d=1 t=41290
ruan shi li 	软实力	c=0 d=4.95978e-17 t=17463
rui xing 	瑞星	c=1 d=5.31669e-10 t=17463
run 	润	c=1 d=1 t=22274
run he 	润和	c=3 d=2.98012 t=51266
run qian 	润乾	c=9 d=1.00083 t=38994
ruo 	若	c=4 d=0.1 t=71723
ruo wei 	若为	c=1 d=1 t=63115
ruo wei kong 	若为空	c=1 d=1 t=71724
ruo yi 	若依	c=1 d=1.45821e-26 t=17463
sa 	撒	c=2 d=1.09802 t=51950
sa da 	飒沓	c=4 d=0.1 t=51966
sa da fa shi 	撒大法师	c=3 d=1 t=52522
sa da la ku fu jin ang si 	飒沓拉库附近盎司	c=1 d=1 t=48699
sa da lu 	萨大路	c=0 d=1.88439e-14 t=17463
sa da lu fei 	飒沓路费	c=1 d=1 t=48722
sa da sha du 	飒沓杀毒	c=2 d=1 t=79603
sa dan 	撒旦	c=0 d=0.17606 t=17463
sa dan fa sheng de 	撒旦发生的	c=6 d=1 t=74836
sa dan fa sheng de fa sa 	撒旦发生的发撒	c=1 d=1 t=41274
sa dan fa sheng de fa she ji di lian fa ke jiang a 	撒旦发生的发射基地联发科将啊	c=1 d=1 t=48731
sa dan fa sheng de fang 	撒旦发生的房	c=4 d=1 t=52521
sa dan fa sheng de fen shi da fu jiu kai shi hai kong jun hui sa di fang 	撒旦发生的分士大夫就开始海空军挥洒地方	c=1 d=0.010358 t=17463
sa dan fa sheng de fen shi da fu sa dan fa sheng de fa shan dong gong an se gui wo er fu shi da fu san da 	撒旦发生的分士大夫撒旦发生的发山东公安色鬼沃尔夫士大夫三大	c=1 d=2.32355e-07 t=17463
sa dan fa sheng de gou 	撒旦发生的狗	c=1 d=0.0227089 t=17463
sa dan fa sheng de hai bao shang an 	撒旦发生的海豹上岸	c=1 d=0.0221482 t=17463
sa dan fa sheng han guo an shi da fu sa fei 	撒旦发生韩国安士大夫萨菲	c=1 d=0.0229371 t=17463
sa dan fa song gei 	撒旦发送给	c=1 d=0.0228227 t=17463
sa dan fan sa dan fan de sa 	撒旦烦撒旦范德萨	c=1 d=1 t=17438
sa dan le kai fa jian she la da ke jian fei 	撒旦了开发建设拉达克减肥	c=1 d=0.985112 t=17463
sa di ke 	萨迪克	c=0 d=0.1 t=48697
sa di ke fu jin a su liao de kai fa 	萨迪克附近啊塑料的开发	c=1 d=1 t=48698
sa dong fa shou fa 	撒懂法守法	c=1 d=0.1 t=46798
sa dong fa shou fa da fa 	撒懂法守法大法	c=1 d=1 t=46799
sa dong jing fen li 	撒动静分离	c=1 d=0.1 t=74667
sa dong jing fen li kai ji 	撒动静分离开机	c=2 d=0.934049 t=17463
sa dong jing fen li ke 	撒动静分离课	c=1 d=0.447088 t=17463
sa dong jing fen li si ji dou fu 	撒动静分离四季豆腐	c=1 d=0.214381 t=17463
sa dui fang 	撒对方	c=6 d=4.16031 t=47246
sa dui fang kan 	撒对方看	c=1 d=1 t=45058
sa fa 	萨法	c=1 d=0.176721 t=46818
sa fa fang da 	萨法放大	c=1 d=1 t=46819
sa fa suan fa 	萨法算法	c=1 d=1 t=17035
sa fei 	萨菲	c=0 d=0.00228227 t=17463
sa ga 	萨嘎	c=0 d=0.00176857 t=17463
sa ge 	萨格	c=0 d=0.1 t=20282
sa hng ping 	撒哼屏	c=1 d=1 t=43444
sa huang 	撒谎	c=0 d=0.1 t=17388
sa jiao 	撒娇	c=0 d=5.48701e-29 t=17463
sa jiao de 	撒娇的	c=0 d=0.1 t=51967
sa ke 	萨克	c=0 d=5.27186e-29 t=17463
sa ke da 	萨克达	c=0 d=4.4855e-11 t=17463
sa ke da fei ji 	萨克打飞机	c=4 d=0.1 t=74686
sa la 	萨拉	c=0 d=0.00102549 t=17463
sa la ding 	萨拉丁	c=0 d=1.89384e-14 t=17463
sa la ding fan kang jun ang si 	萨拉丁反抗军盎司	c=1 d=1.90333e-13 t=17463
sa le da kai fu jin ai le 	撒了打开附近爱了	c=1 d=1 t=48685
sa li jun 	萨里郡	c=0 d=0.1 t=43018
sa li jun fou 	萨里郡否	c=1 d=1 t=43019
sa lian ke 	萨连科	c=0 d=0.1 t=51944
sa sa dan fa sheng de 	撒撒旦发生的	c=1 d=1 t=41272
sa shui 	洒水	c=0 d=0.00177743 t=17463
sa te 	萨特	c=0 d=0.1 t=17446
sai bo peng ke 	赛博朋克	c=2 d=1 t=55388
sai er 	塞尔	c=3 d=2.66584 t=41368
san 	三	c=5 d=1 t=72049
san 	散	c=1 d=1 t=39719
san bei 	三倍	c=1 d=1 t=79561
san bian 	三遍	c=0 d=1.57072e-19 t=17463
san ceng 	三层	c=1 d=0.1 t=54196
san ci 	三次	c=6 d=1.00003 t=73216
san da 	三大	c=1 d=0.818924 t=63812
san da fan shi 	三大范式	c=1 d=4.9821e-10 t=17463
san da fan shi da fu 	三大范式大幅	c=9 d=0.941765 t=17463
san da lei 	三大类	c=1 d=1 t=54471
san da te zheng 	三大特征	c=1 d=1 t=63813
san deng fen jiao 	三等分角	c=2 d=0.1 t=74686
san deng fen jiao ke li si duo fu ji lei 	三等分角克利斯朵夫基类	c=1 d=1 t=19477
san deng fen jiao sa dan 	三等分角撒旦	c=1 d=6.11025e-29 t=17463
san deng fen jiao sa ke da fei ji 	三等分角萨克打飞机	c=1 d=1 t=74687
san dian 	三点	c=2 d=1 t=65108
san duan lun fa 	三段论法	c=0 d=5.29828e-29 t=17463
san duan lun fa kong jian 	三段论法空间	c=2 d=1 t=49379
san fan si fu 	三番四复	c=0 d=5.13645e-17 t=17463
san fei 	三飞	c=1 d=1 t=35273
san ge 	三个	c=14 d=1.65003 t=79646
san ge yue 	三个月	c=1 d=1 t=79519
san guo ce 	三国策	c=1 d=1 t=18338
san jiao xing 	三角形	c=1 d=1 t=53595
san lei 	三类	c=1 d=1 t=57980
san nian le 	三年了	c=1 d=1.48e-24 t=17463
san qi 	三七	c=1 d=1 t=28484
san qi 	三期	c=1 d=8.64406e-22 t=17463
san re 	散热	c=2 d=1 t=37369
san re qi 	散热器	c=1 d=1 t=18724
san san 	散散	c=3 d=1 t=50799
san san bu 	散散步	c=1 d=1 t=33342
san shang 	三上	c=0 d=0.1 t=21648
san shang you ya 	三上优雅	c=1 d=1 t=21649
san tian 	三天	c=2 d=1 t=78163
san wei 	三位	c=1 d=1 t=34783
san xing 	三星	c=1 d=3.90017e-12 t=17463
san yao su 	三要素	c=1 d=1 t=59090
san yuan 	三元	c=2 d=1.99005 t=62975
san zhong 	三种	c=6 d=1 t=62960
sang shen 	桑葚	c=1 d=1 t=22839
sao du 	扫毒	c=2 d=1.51262e-08 t=17463
sao le 	扫了	c=1 d=1 t=18548
sao ma 	扫码	c=1 d=1 t=18543
sao miao 	扫描	c=10 d=1 t=77203
sao miao qi 	扫描器	c=1 d=1 t=73437
sao nian 	骚年	c=2 d=1 t=36113
sao rao 	骚扰	c=3 d=1 t=47500
sao sao 	嫂嫂	c=2 d=1 t=43450
sao yi xia 	扫一下	c=1 d=1 t=22689
sao zi 	嫂子	c=1 d=1 t=41630
se 	色	c=3 d=1.7827 t=52047
se de 	色的	c=1 d=1.14083 t=48709
se gui 	色鬼	c=0 d=2.31196e-08 t=17463
se huang 	色荒	c=0 d=0.1 t=56592
se huang ji 	色荒即	c=1 d=1 t=56593
se mi mi 	色迷迷	c=1 d=1 t=49264
se qing 	色情	c=1 d=1 t=47457
se shen 	色深	c=2 d=1.93707 t=18421
sen hai 	森海	c=5 d=3.73162 t=41408
sen hai sai er 	森海塞尔	c=3 d=1.99501 t=74665
sha 	傻	c=1 d=1 t=38614
sha 	啥	c=124 d=1.02197 t=79952
sha 	杀	c=3 d=1 t=69927
sha bing 	啥病	c=1 d=1 t=34992
sha da ge 	傻大个	c=0 d=2.46849e-14 t=17463
sha da ge a si dun 	傻大个阿斯顿	c=1 d=2.48086e-13 t=17463
sha dong xi 	啥东西	c=1 d=1 t=38416
sha dou 	啥都	c=1 d=1 t=34688
sha dou mei you 	啥都没有	c=1 d=1 t=47464
sha dou you 	啥都有	c=1 d=1 t=19957
sha du 	杀毒	c=12 d=0.1 t=33231
sha du fu gang ao shi duo ge 	杀毒赴港澳时多个	c=1 d=0.0175975 t=17463
sha du ge ang si 	杀毒个盎司	c=1 d=0.1 t=43268
sha du ge ang si dui fang 	杀毒个盎司对方	c=1 d=1 t=43269
sha fa dian 	沙发垫	c=1 d=1 t=72807
sha fa dian ai de fa de fou 	沙发垫爱德发的否	c=1 d=1 t=46753
sha gua 	傻瓜	c=1 d=1 t=22537
sha guai 	杀怪	c=10 d=3.66009 t=70437
sha ma 	啥吗	c=1 d=1 t=20865
sha mo zhi ying 	沙漠之鹰	c=2 d=1.99501 t=18883
sha shi 	啥事	c=2 d=1 t=46414
sha shi hou 	啥时候	c=16 d=1.01932 t=79710
sha wan yi 	啥玩意	c=2 d=1 t=27781
sha wen ti 	啥问题	c=1 d=1 t=22708
sha yang 	啥样	c=1 d=4.34614e-21 t=17463
sha ye 	啥也	c=1 d=1 t=78223
sha ye 	杀业	c=2 d=1 t=78222
sha ye bu shi 	啥也不是	c=2 d=1 t=27840
sha yi si 	啥意思	c=1 d=1 t=78104
sha ying xiang 	啥影响	c=1 d=1 t=46833
sha yong 	啥用	c=1 d=0.0327124 t=17463
sha yu 	鲨鱼	c=1 d=1 t=51110
sha zi 	傻子	c=1 d=1.54628e-10 t=17463
shai xuan 	筛选	c=1 d=1 t=51337
shai zi 	色子	c=1 d=1 t=50443
shan 	删	c=2 d=1.1979 t=72263
shan 	山	c=1 d=1.3122e-20 t=17463
shan ban 	舢板	c=1 d=1 t=33395
shan bian 	善变	c=3 d=0.0497871 t=17463
shan chu 	删除	c=181 d=2.0674 t=78617
shan chu hang 	删除行	c=3 d=2.77568 t=75492
shan chu jian 	删除键	c=1 d=1 t=46114
shan chu le 	删除了	c=2 d=0.174645 t=17463
shan chu xian 	删除线	c=1 d=2.25488e-07 t=17463
shan cun 	善存	c=1 d=6.54772e-19 t=17463
shan da 	山大	c=1 d=1 t=19064
shan dian 	闪电	c=1 d=1 t=20276
shan diao 	删掉	c=2 d=0.35924 t=46753
shan diao kai ke shi jian fu la ke de jian fei 	删掉开课时间弗拉克的减肥	c=1 d=1 t=46754
shan dong gong an 	山东公安	c=0 d=2.31196e-08 t=17463
shan hao 	删号	c=1 d=1 t=25553
shan hou 	善后	c=2 d=1.8311 t=69759
shan qi 	陕汽	c=1 d=1 t=74463
shan shuo 	闪烁	c=5 d=1.00002 t=49354
shan xi 	陕西	c=6 d=1 t=45882
shan xi ning 	山西宁	c=0 d=0.1 t=47243
shan xi ning gan nv er 	山西宁干女儿	c=1 d=1 t=47244
shan zai 	善哉	c=1 d=1 t=62060
shan zhai 	山寨	c=1 d=1.09277 t=62061
shan zhai gong si 	山寨公司	c=1 d=1 t=62047
shang 	上	c=71 d=1.09233 t=79385
shang 	尚	c=0 d=0.1 t=74225
shang ban 	上班	c=69 d=1.10371 t=79812
shang ban hou 	上班后	c=1 d=1 t=53044
shang ban le 	上班了	c=1 d=1 t=78119
shang ban nian 	上半年	c=1 d=1 t=29209
shang bu liao 	上不了	c=1 d=1 t=16034
shang ceng 	上层	c=2 d=1 t=67775
shang chan 	上产	c=1 d=1 t=55758
shang che 	上车	c=2 d=1 t=40638
shang cheng 	商城	c=0 d=0.00103063 t=17463
shang chuan 	上传	c=16 d=1.30062 t=76774
shang chun 	上唇	c=1 d=1 t=28540
shang ci 	上次	c=10 d=1 t=77492
shang ci de 	上次的	c=1 d=0.045502 t=17463
shang da fa shi da fu 	上打法士大夫	c=7 d=1.24908 t=78809
shang de 	上的	c=7 d=1 t=63677
shang dian 	商店	c=4 d=1.99774 t=26139
shang er xia 	上而下	c=1 d=1 t=59629
shang gang xin cun 	上钢新村	c=1 d=2.75505e-11 t=17463
shang gui gu 	尚硅谷	c=1 d=1 t=74226
shang hai 	上海	c=81 d=1.62823 t=80018
shang hui 	上会	c=1 d=1 t=39113
shang ji 	上级	c=2 d=1 t=51734
shang jiao 	上角	c=1 d=1 t=18170
shang ke 	上课	c=4 d=1.84789 t=45732
shang lai 	上来	c=1 d=1 t=19937
shang lai le 	上来了	c=1 d=1 t=46525
shang lan de fen 	上篮得分	c=1 d=0.1 t=43614
shang lan de fen jiang la su kan de 	上篮得分姜辣素看得	c=1 d=2.24478e-13 t=17463
shang le 	上了	c=2 d=1 t=41844
shang lian 	上联	c=1 d=0.248823 t=20130
shang lian da ka fang jia a shang lian 	上联打卡放假啊上联	c=1 d=1 t=20131
shang liang 	商量	c=1 d=2.46421e-22 t=17463
shang ling dian ka fei jiang la su jiu 	上零点咖啡姜辣素就	c=1 d=5.21407e-16 t=17463
shang luo di ke fang ji ao ling shan da fu 	上罗迪克方吉奥灵山大佛	c=1 d=5.26648e-16 t=17463
shang mai 	上买	c=0 d=0.0524663 t=17463
shang mao 	商贸	c=1 d=1 t=29253
shang mian 	上面	c=33 d=1.21654 t=78982
shang mian de 	上面的	c=1 d=1 t=56917
shang nan lu 	上南路	c=1 d=2.78274e-11 t=17463
shang ni 	上你	c=1 d=2.77886e-24 t=17463
shang pin 	商品	c=25 d=1.97977 t=51652
shang pu 	上铺	c=1 d=1 t=40599
shang qu 	上去	c=6 d=1 t=54369
shang re sou 	上热搜	c=0 d=0.1 t=24973
shang sai ji 	上赛季	c=1 d=1 t=46925
shang san fan si fu 	上三番四复	c=1 d=5.16219e-16 t=17463
shang sha ban 	上啥班	c=1 d=1 t=40209
shang sheng kong jian 	上升空间	c=0 d=0.1 t=46810
shang sheng kong jian le 	上升空间了	c=1 d=1 t=46811
shang shu 	上述	c=2 d=1 t=74504
shang shuo 	上说	c=0 d=0.1 t=21319
shang tu 	上图	c=1 d=1 t=26573
shang wan 	上完	c=1 d=1 t=31346
shang wei 	尚未	c=2 d=1 t=49790
shang xia 	上下	c=7 d=1.45834 t=30472
shang xia ban 	上下班	c=1 d=1 t=16904
shang xia wen 	上下文	c=30 d=3.92407 t=71752
shang xia wen en 	上下文恩	c=1 d=1 t=29947
shang xia xing 	上下型	c=2 d=1.99501 t=21408
shang xia xing 	上下性	c=1 d=1 t=17515
shang xian 	上线	c=11 d=3.63962 t=34214
shang xue 	上学	c=3 d=1 t=50520
shang yi 	上一	c=2 d=0.100004 t=20461
shang yi 	上移	c=2 d=1.96561 t=19326
shang yi ci 	上一次	c=1 d=1 t=70338
shang yi dian 	上一点	c=1 d=1 t=74494
shang yi ge 	上一个	c=5 d=1 t=70335
shang yi hang 	上一行	c=1 d=1 t=20462
shang yi ye 	上一页	c=2 d=1 t=77393
shang ying 	上映	c=1 d=4.44238e-14 t=17463
shang yong 	商用	c=2 d=1.02719 t=45357
shang zhou 	上周	c=6 d=1 t=77061
shang zhou mo 	上周末	c=1 d=1.34706e-05 t=17463
shang zhou wu 	上周五	c=1 d=0.1 t=79809
shao 	少	c=4 d=1 t=69009
shao 	烧	c=4 d=1.65467 t=77528
shao an wu zao 	稍安勿躁	c=1 d=0.000117391 t=17463
shao chi 	少吃	c=0 d=0.1 t=37442
shao chi dian 	少吃点	c=1 d=1 t=37443
shao de 	少的	c=1 d=1 t=76077
shao deng 	稍等	c=3 d=1 t=77153
shao dian 	少点	c=0 d=4.80322e-22 t=17463
shao hou 	稍后	c=1 d=1 t=21237
shao kao 	勺靠	c=1 d=5.47377e-29 t=17463
shao kao 	烧烤	c=4 d=1.20107 t=27843
shao kao jiang 	烧烤酱	c=1 d=0.1 t=74669
shao kao jiang fen 	烧烤酱分	c=2 d=1 t=46726
shao kao jiang fen kuai su jian fei 	烧烤酱分快速减肥	c=1 d=0.247833 t=17463
shao kao jiang shi da fu 	烧烤酱士大夫	c=1 d=1 t=74670
shao kao le 	烧烤了	c=1 d=1 t=27810
shao le 	少了	c=1 d=1 t=40898
shao shui 	烧水	c=1 d=1.5994e-25 t=17463
shao you 	稍有	c=1 d=1 t=67820
she 	射	c=1 d=0.1 t=72803
she 	蛇	c=1 d=1 t=27200
she 	设	c=1 d=1 t=19486
she bao ka 	社保卡	c=1 d=1 t=16972
she bei 	设备	c=8 d=2.77473 t=61318
she ding 	设定	c=7 d=1 t=53147
she ji 	涉及	c=3 d=0.1 t=71485
she ji 	设计	c=62 d=1.00326 t=70743
she ji lei 	涉及类	c=1 d=1 t=71486
she ji mo shi 	设计模式	c=6 d=1 t=61550
she ji si lu 	设计思路	c=0 d=0.1 t=72804
she ji si lu ka di fu jiang 	设计思路卡迪夫将	c=1 d=1 t=72805
she jiao 	社交	c=1 d=1 t=21992
she li deng ji 	设立登记	c=0 d=1.76184e-17 t=17463
she li deng ji fen la sheng de ji fen 	设立登记分拉升的积分	c=1 d=1.77068e-16 t=17463
she pi 	蛇皮	c=2 d=1.37719 t=24023
she qing 	社情	c=1 d=3.01297e-05 t=17463
she qu 	社区	c=5 d=1 t=75122
she shan 	佘山	c=2 d=1.18825 t=19234
she shan 	蛇山	c=1 d=1 t=27197
she xiang tou 	摄像头	c=3 d=1.94176 t=39200
she you 	舍友	c=6 d=1.2865 t=47341
she zhang 	赊账	c=1 d=1 t=35915
she zhi 	设置	c=106 d=1 t=77200
she zhi le 	设置了	c=1 d=1 t=65633
she zhi wei 	设置为	c=2 d=1 t=76386
shei 	谁	c=26 d=1 t=79485
shei fu ze 	谁负责	c=1 d=0.0439369 t=17463
shei hui 	谁会	c=1 d=1 t=24257
shei neng 	谁能	c=1 d=1 t=70004
shei qu 	谁去	c=1 d=1 t=39037
shei rang ni 	谁让你	c=2 d=7.86896e-05 t=17463
shei shuo 	谁说	c=2 d=1 t=75948
shei shuo de 	谁说的	c=2 d=1 t=45894
shei xie 	谁写	c=1 d=1 t=79435
shei ya 	谁呀	c=1 d=1 t=23344
shei you 	谁有	c=1 d=1 t=16872
shei zai 	谁在	c=1 d=1 t=21631
shei zhi 	谁知	c=0 d=1.23217e-16 t=17463
shei zhi dao 	谁知道	c=3 d=1 t=78338
shei zhi qian 	谁知前	c=1 d=1.23835e-15 t=17463
shen 	什	c=0 d=0.1 t=49387
shen 	深	c=1 d=1 t=33911
shen 	申	c=2 d=1.99501 t=34899
shen 	神	c=1 d=1.56991e-12 t=17463
shen 	身	c=2 d=1 t=66095
shen bian 	身边	c=1 d=1 t=78465
shen bu you ji 	身不由己	c=1 d=1 t=50820
shen cai 	身材	c=2 d=1 t=52776
shen du 	深度	c=5 d=1 t=71461
shen fen 	身份	c=26 d=1.91537 t=71838
shen fen en 	身份恩	c=1 d=1 t=45269
shen fen zheng 	身份证	c=18 d=6.91801 t=45359
shen fen zheng lei xing 	身份证类型	c=2 d=1.46533 t=45383
shen fen zheng ni gai le 	身份证你改了	c=1 d=1 t=45285
shen gao 	身高	c=2 d=1 t=63788
shen he 	审核	c=34 d=4.02829 t=43491
shen he de 	审核的	c=1 d=1 t=39584
shen jing bing 	神经病	c=0 d=0.1 t=26292
shen kao bei 	深拷贝	c=22 d=4.95722 t=71502
shen ke li jie 	深刻理解	c=0 d=0.0496585 t=17463
shen ke li jie feng le ka shi da 	深刻理解封了卡士达	c=1 d=0.499074 t=17463
shen ke long 	深克隆	c=1 d=1 t=57211
shen keng jiu dian 	深坑酒店	c=0 d=0.1 t=25036
shen me 	什么	c=136 d=0.100065 t=79687
shen me de 	什么的	c=1 d=1 t=46041
shen me ne 	什么呢	c=2 d=1 t=63739
shen me rou 	什么肉	c=1 d=1 t=21702
shen me shi 	什么是	c=1 d=1 t=80051
shen mei 	审美	c=2 d=1 t=76846
shen mi 	神秘	c=1 d=1 t=47718
shen mo 	神魔	c=6 d=1 t=70342
shen mo yi si 	什么意思	c=1 d=1 t=49388
shen pi 	审批	c=1 d=1 t=17086
shen qi 	神奇	c=1 d=1 t=73233
shen qing 	申请	c=27 d=1 t=73376
shen qing piao 	申请票	c=1 d=1 t=26182
shen qing ri 	申请日	c=1 d=1 t=35203
shen qing shu 	申请书	c=15 d=1.00139 t=26046
shen ru 	深入	c=1 d=1 t=58542
shen shang 	身上	c=5 d=1 t=77192
shen ti 	身体	c=7 d=1 t=77762
shen wei 	身为	c=1 d=1 t=39152
shen xu 	肾虚	c=2 d=0.0153752 t=17463
shen yang 	沈阳	c=3 d=2.66251e-20 t=17463
shen you ti hui 	深有体会	c=1 d=1 t=37460
shen zao 	深造	c=1 d=1 t=79679
shen zhen 	深圳	c=3 d=1 t=65018
shen zhou 	神舟	c=1 d=1 t=48904
sheng 	升	c=4 d=1.19495 t=70260
sheng 	声	c=1 d=0.00228818 t=17463
sheng 	生	c=7 d=1 t=55761
sheng 	省	c=1 d=1 t=29256
sheng chan 	生产	c=25 d=1 t=75383
sheng cheng 	生成	c=45 d=1.94649 t=79119
sheng cheng qi 	生成器	c=1 d=1 t=57296
sheng cun 	生存	c=1 d=1 t=63463
sheng cun qi 	生存期	c=3 d=2.06056 t=63526
sheng dan jie 	圣诞节	c=1 d=1 t=77827
sheng dao 	升到	c=1 d=7.15219e-17 t=17463
sheng dao fu li ke ji shou dao le kai fa 	升到复礼克己受到了开发	c=1 d=5.03474e-16 t=17463
sheng diao lun kuo 	声调轮廓	c=0 d=9.02012e-24 t=17463
sheng diao lun kuo fang jian li kuai su da ji fu 	声调轮廓房间里快速打击付	c=1 d=9.06533e-23 t=17463
sheng huo 	生活	c=6 d=1.02612 t=66881
sheng ji 	升级	c=26 d=3.48248 t=70438
sheng ji guo 	升级过	c=1 d=1 t=25292
sheng ji shang qu 	升级上去	c=1 d=1 t=19052
sheng jiang 	升降	c=1 d=1 t=78871
sheng le 	省了	c=1 d=1 t=40619
sheng ling di kang jun 	圣灵抵抗军	c=0 d=1.11222e-17 t=17463
sheng ling di kang jun fen 	圣灵抵抗军分	c=3 d=1 t=54068
sheng lve 	省略	c=1 d=1 t=68297
sheng ming 	声明	c=17 d=1.06168 t=72619
sheng ming yi 	生名义	c=1 d=1 t=32054
sheng pi zi 	生僻字	c=1 d=5.31759e-12 t=17463
sheng qi 	生气	c=1 d=1 t=20884
sheng ri 	生日	c=5 d=4.37413 t=66395
sheng sheng shi shi 	生生世世	c=1 d=1 t=47128
sheng shi 	省市	c=1 d=1 t=44640
sheng shi sheng li 	省时省力	c=2 d=1.99501 t=58447
sheng tian 	升天	c=1 d=1 t=16549
sheng wa 	生娃	c=1 d=0.408819 t=23759
sheng wu 	生物	c=1 d=6.5466e-17 t=17463
sheng xia 	剩下	c=4 d=1.00001 t=78198
sheng xiao 	生效	c=5 d=1.38289 t=60561
sheng xu 	升序	c=1 d=1 t=51835
sheng yi ge 	生一个	c=1 d=1 t=19154
sheng yin 	声音	c=10 d=1 t=74779
