# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	15081
#@/user_id	24769514-98c0-4d1f-9fa1-759af48b6715
a 	啊	c=134 d=2.32908 t=15081
qing yi 	轻易	c=0 d=1.48975e-14 t=15081
qing yi dian 	轻易点	c=1 d=1.49721e-13 t=15081
qiong 	穷	c=3 d=0.65377 t=15081
qiu 	球	c=0 d=0.1 t=13245
qiu ni 	求你	c=1 d=1.55081e-15 t=15081
qu 	区	c=2 d=1.98033e-09 t=15081
qu 	去	c=39 d=0.738813 t=15081
qu 	取	c=3 d=0.646141 t=15081
qu 	曲	c=2 d=2.39494e-11 t=15081
qu ba 	去吧	c=5 d=1.16199e-07 t=15081
qu bie 	区别	c=3 d=6.13381e-23 t=15081
qu bu liao 	去不了	c=1 d=3.14127e-25 t=15081
qu chao shi 	去超市	c=1 d=1.60742e-25 t=15081
qu chu 	取出	c=1 d=0.000365224 t=15081
qu da 	去打	c=0 d=0.1 t=13245
qu da qiu 	去打球	c=1 d=1 t=13246
qu dao 	去到	c=1 d=0.55612 t=13283
qu dao 	渠道	c=1 d=6.29633e-29 t=15081
qu de 	取得	c=12 d=0.0586193 t=15081
qu diao 	去掉	c=5 d=0.295233 t=15081
qu dong 	驱动	c=1 d=2.60717e-09 t=15081
qu dou yin 	去痘印	c=1 d=2.39057e-18 t=15081
qu fen 	区分	c=1 d=1 t=13351
qu gen 	去跟	c=1 d=1 t=14970
qu kan 	去看	c=2 d=3.47217e-13 t=15081
qu kan kan 	去看看	c=3 d=1.00786e-08 t=15081
qu le 	去了	c=7 d=2.48321e-08 t=15081
qu ma 	去吗	c=1 d=3.79406e-11 t=15081
qu mai 	去买	c=0 d=1.62357e-26 t=15081
qu mai dian 	去卖点	c=1 d=5.48514e-24 t=15081
qu mai shui 	去买水	c=1 d=1.63171e-25 t=15081
qu mian 	曲面	c=0 d=1.09246e-12 t=15081
qu mian ping 	去面屏	c=1 d=1.03918e-11 t=15081
qu mian ping 	曲面屏	c=1 d=1.09794e-11 t=15081
qu na 	去哪	c=3 d=5.84555e-08 t=15081
qu nan jing dong lu 	曲南京东路	c=1 d=1.21949e-11 t=15081
qu ne 	去呢	c=1 d=1.37119e-08 t=15081
qu ni 	去你	c=3 d=0.00507928 t=15081
qu ni fang zi 	去你房子	c=1 d=0.0510474 t=15081
qu pao 	去跑	c=1 d=3.04004e-22 t=15081
qu pao bu 	去跑步	c=1 d=1.55964e-23 t=15081
qu wan 	去玩	c=1 d=3.60031e-13 t=15081
qu wang ba 	去网吧	c=2 d=0.0045219 t=15081
qu xiao 	取消	c=3 d=0.000241172 t=15081
qu yi 	取一	c=1 d=0.270268 t=15081
qu yi ci 	取一次	c=1 d=0.162026 t=15081
qu yi ge 	去一个	c=1 d=0.000382034 t=15081
qu yi ge 	取一个	c=1 d=0.000383949 t=15081
qu yi yuan 	区医院	c=1 d=6.4015e-18 t=15081
qu yu 	取余	c=1 d=1.27233e-10 t=15081
qu yue hui 	去约会	c=1 d=1.50058e-10 t=15081
qu zhi 	取值	c=8 d=0.0948935 t=15081
quan 	全	c=1 d=1 t=13356
quan 	权	c=1 d=2.10566e-25 t=15081
quan 	泉	c=0 d=1.19905e-19 t=15081
quan bu 	全部	c=1 d=1.11415e-07 t=15081
quan e 	全额	c=0 d=9.48259e-24 t=15081
quan fen 	全分	c=0 d=2.70933e-21 t=15081
quan fen hang 	全分行	c=1 d=2.72291e-20 t=15081
quan jiao 	全角	c=1 d=4.76287e-10 t=15081
quan ju 	全局	c=4 d=9.20132e-18 t=15081
quan mian 	全面	c=1 d=7.07475e-18 t=15081
quan quan 	拳拳	c=0 d=4.29178e-21 t=15081
quan shen 	全身	c=1 d=9.12658e-14 t=15081
quan tou 	拳头	c=1 d=8.01674e-18 t=15081
quan xian 	权限	c=22 d=0.109503 t=15081
quan zi dong 	全自动	c=1 d=1.24392e-09 t=15081
que dian 	缺点	c=1 d=0.210136 t=15081
que ding 	确定	c=0 d=0.1 t=14471
que le 	缺了	c=1 d=0.229925 t=15081
que ren 	确认	c=7 d=0.00431922 t=15081
que shi 	确实	c=3 d=1.34798e-13 t=15081
que yi 	缺一	c=0 d=2.64064e-13 t=15081
que yi ge ban 	缺一个伴	c=1 d=2.65388e-12 t=15081
ran hou 	然后	c=4 d=0.522051 t=15081
ran hou zhi xing 	然后执行	c=1 d=3.11054e-27 t=15081
rang 	让	c=4 d=3.63526e-08 t=15081
rang ni 	让你	c=5 d=9.14242e-05 t=15081
rang ta 	让她	c=2 d=0.756408 t=15081
rang wo 	让我	c=16 d=0.0273897 t=15081
rang wo lai 	让我来	c=1 d=7.6494e-25 t=15081
rang wo zhi dao 	让我知道	c=1 d=4.08816e-07 t=15081
rang zi ji 	让自己	c=1 d=3.88878e-07 t=15081
re shui 	热水	c=1 d=2.04203e-17 t=15081
re tu 	热土	c=0 d=6.77749e-14 t=15081
re tu rang ni 	热土让你	c=5 d=0.071719 t=15081
re you 	热油	c=1 d=3.28474e-21 t=15081
ren 	人	c=15 d=0.882991 t=15081
ren ba 	人把	c=1 d=2.35618e-24 t=15081
ren bu liao 	忍不了	c=1 d=4.41722e-06 t=15081
ren gong 	人工	c=1 d=2.24906e-06 t=15081
ren he 	任何	c=1 d=4.07331e-23 t=15081
ren ji 	人机	c=2 d=1.51031e-19 t=15081
ren jia 	人家	c=1 d=9.03731e-16 t=15081
ren lian 	人脸	c=1 d=1.47467e-11 t=15081
ren ren 	忍忍	c=1 d=3.33846e-06 t=15081
ren wei 	认为	c=2 d=2.80927e-05 t=15081
ren wu 	任务	c=17 d=0.071289 t=15081
ren xin 	忍心	c=1 d=3.33211e-13 t=15081
ren yuan 	人员	c=1 d=6.16956e-25 t=15081
ren zheng 	认证	c=1 d=2.20865e-28 t=15081
ri ben 	日本	c=1 d=1.04981e-13 t=15081
ri fu 	日复	c=1 d=8.1379e-18 t=15081
ri hou 	日后	c=0 d=3.80582e-19 t=15081
ri hou zi 	日后子	c=1 d=3.8249e-18 t=15081
ri li 	日历	c=3 d=0.00509243 t=15081
ri qi 	日期	c=5 d=0.000808775 t=15081
ri zhi 	日志	c=9 d=6.40294e-09 t=15081
ri zhi shu chu 	日志输出	c=1 d=3.80582e-18 t=15081
ri zi 	日子	c=2 d=4.96839e-07 t=15081
rong qi 	容器	c=2 d=0.00127239 t=15081
rong yi 	容易	c=1 d=6.1009e-11 t=15081
rou jia mo 	肉夹馍	c=1 d=2.99478e-22 t=15081
ru 	如	c=2 d=0.00161247 t=15081
ru ci 	如此	c=2 d=1.07047e-25 t=15081
ru de 	入的	c=0 d=7.08077e-29 t=15081
ru guo 	如果	c=2 d=1.44596e-15 t=15081
ru he 	如何	c=22 d=0.0402336 t=15081
ru keng 	入坑	c=1 d=8.68295e-16 t=15081
ru kou 	入口	c=3 d=1.18245e-17 t=15081
ru shi 	如实	c=2 d=3.00877e-18 t=15081
ru shi jiao dai 	如实交代	c=1 d=3.27682e-22 t=15081
ru wei 	入味	c=1 d=7.38128e-17 t=15081
ru xia 	如下	c=1 d=2.81166e-15 t=15081
ru zhang 	入账	c=3 d=0.0110798 t=15081
ruan jian 	软件	c=23 d=0.016513 t=15081
ruan jian bao 	软件包	c=1 d=1.19101e-27 t=15081
ruan shi li 	软实力	c=0 d=4.95978e-17 t=15081
rui xing 	瑞星	c=1 d=5.31669e-10 t=15081
ruo yi 	若依	c=1 d=1.45821e-26 t=15081
sa 	撒	c=0 d=5.35153e-29 t=15081
sa da lu 	萨大路	c=0 d=1.88439e-14 t=15081
sa dan 	撒旦	c=0 d=0.0980199 t=15081
sa dan fa sheng de 	撒旦发生的	c=2 d=0.0265498 t=15081
sa dan fa sheng de fang 	撒旦发生的房	c=1 d=0.0102037 t=15081
sa dan fa sheng de fen shi da fu jiu kai shi hai kong jun hui sa di fang 	撒旦发生的分士大夫就开始海空军挥洒地方	c=1 d=0.010358 t=15081
sa dan fa sheng de fen shi da fu sa dan fa sheng de fa shan dong gong an se gui wo er fu shi da fu san da 	撒旦发生的分士大夫撒旦发生的发山东公安色鬼沃尔夫士大夫三大	c=1 d=2.32355e-07 t=15081
sa dan fa sheng de gou 	撒旦发生的狗	c=1 d=0.0227089 t=15081
sa dan fa sheng de hai bao shang an 	撒旦发生的海豹上岸	c=1 d=0.0221482 t=15081
sa dan fa sheng han guo an shi da fu sa fei 	撒旦发生韩国安士大夫萨菲	c=1 d=0.0229371 t=15081
sa dan fa song gei 	撒旦发送给	c=1 d=0.0228227 t=15081
sa dan le kai fa jian she la da ke jian fei 	撒旦了开发建设拉达克减肥	c=1 d=1 t=15078
sa dong jing fen li 	撒动静分离	c=1 d=0.110081 t=15081
sa dong jing fen li kai ji 	撒动静分离开机	c=2 d=1.90937 t=14938
sa dong jing fen li ke 	撒动静分离课	c=1 d=1 t=14920
sa dong jing fen li si ji dou fu 	撒动静分离四季豆腐	c=1 d=1 t=14773
sa fei 	萨菲	c=0 d=0.00228227 t=15081
sa ga 	萨嘎	c=0 d=0.1 t=14274
sa jiao 	撒娇	c=0 d=5.48701e-29 t=15081
sa ke 	萨克	c=0 d=5.27186e-29 t=15081
sa ke da 	萨克达	c=0 d=4.4855e-11 t=15081
sa ke da fei ji 	萨克打飞机	c=1 d=5.26648e-17 t=15081
sa la 	萨拉	c=0 d=0.00102549 t=15081
sa la ding 	萨拉丁	c=0 d=1.89384e-14 t=15081
sa la ding fan kang jun ang si 	萨拉丁反抗军盎司	c=1 d=1.90333e-13 t=15081
sa shui 	洒水	c=0 d=0.1 t=14275
sai bo peng ke 	赛博朋克	c=1 d=1.51907e-07 t=15081
san 	三	c=1 d=4.58562e-06 t=15081
san bian 	三遍	c=0 d=1.57072e-19 t=15081
san ci 	三次	c=1 d=1.01318e-07 t=15081
san da 	三大	c=0 d=7.23881e-24 t=15081
san da fan shi 	三大范式	c=1 d=4.9821e-10 t=15081
san da fan shi da fu 	三大范式大幅	c=8 d=7.75093e-16 t=15081
san deng fen jiao 	三等分角	c=1 d=0.0961413 t=15081
san deng fen jiao sa dan 	三等分角撒旦	c=1 d=6.11025e-29 t=15081
san duan lun fa 	三段论法	c=0 d=5.29828e-29 t=15081
san duan lun fa kong jian 	三段论法空间	c=1 d=5.32484e-28 t=15081
san fan si fu 	三番四复	c=0 d=5.13645e-17 t=15081
san ge 	三个	c=1 d=6.2628e-25 t=15081
san nian le 	三年了	c=1 d=1.48e-24 t=15081
san qi 	三期	c=1 d=8.64406e-22 t=15081
san re 	散热	c=1 d=1.19824e-10 t=15081
san tian 	三天	c=1 d=9.85447e-05 t=15081
san xing 	三星	c=1 d=3.90017e-12 t=15081
sao du 	扫毒	c=2 d=1.51262e-08 t=15081
sao miao 	扫描	c=1 d=1 t=14870
sao rao 	骚扰	c=1 d=2.01718e-20 t=15081
se gui 	色鬼	c=0 d=2.31196e-08 t=15081
sha 	啥	c=24 d=1.61035 t=15081
sha da ge 	傻大个	c=0 d=2.46849e-14 t=15081
sha da ge a si dun 	傻大个阿斯顿	c=1 d=2.48086e-13 t=15081
sha du 	杀毒	c=12 d=0.0256105 t=15081
sha du fu gang ao shi duo ge 	杀毒赴港澳时多个	c=1 d=1 t=14273
sha shi 	啥事	c=0 d=5.56425e-17 t=15081
sha shi hou 	啥时候	c=2 d=0.0013131 t=15081
sha wan yi 	啥玩意	c=1 d=2.1939e-08 t=15081
sha yang 	啥样	c=1 d=4.34614e-21 t=15081
sha yong 	啥用	c=1 d=0.0327124 t=15081
sha zi 	傻子	c=1 d=1.54628e-10 t=15081
shan 	山	c=1 d=1.3122e-20 t=15081
shan bian 	善变	c=2 d=0.0497871 t=15081
shan chu 	删除	c=18 d=0.0893673 t=15081
shan chu le 	删除了	c=1 d=8.92884e-21 t=15081
shan chu xian 	删除线	c=1 d=2.25488e-07 t=15081
shan cun 	善存	c=1 d=6.54772e-19 t=15081
shan dong gong an 	山东公安	c=0 d=2.31196e-08 t=15081
shang 	上	c=9 d=0.287941 t=15081
shang ban 	上班	c=12 d=0.35523 t=15081
shang ban le 	上班了	c=0 d=2.2049e-09 t=15081
shang che 	上车	c=0 d=1.04241e-19 t=15081
shang cheng 	商城	c=0 d=0.1 t=14166
shang chuan 	上传	c=1 d=0.000418012 t=15081
shang ci 	上次	c=2 d=0.0464569 t=15081
shang ci de 	上次的	c=1 d=0.045502 t=15081
shang da fa shi da fu 	上打法士大夫	c=2 d=0.0176857 t=15081
shang de 	上的	c=1 d=1.43626e-24 t=15081
shang dian 	商店	c=1 d=1.65637e-25 t=15081
shang gang xin cun 	上钢新村	c=1 d=2.75505e-11 t=15081
shang hai 	上海	c=16 d=0.109511 t=15081
shang lan de fen 	上篮得分	c=1 d=2.86439e-14 t=15081
shang lan de fen jiang la su kan de 	上篮得分姜辣素看得	c=1 d=2.24478e-13 t=15081
shang le 	上了	c=1 d=1.77098e-18 t=15081
shang liang 	商量	c=1 d=2.46421e-22 t=15081
shang ling dian ka fei jiang la su jiu 	上零点咖啡姜辣素就	c=1 d=5.21407e-16 t=15081
shang luo di ke fang ji ao ling shan da fu 	上罗迪克方吉奥灵山大佛	c=1 d=5.26648e-16 t=15081
shang mai 	上买	c=0 d=0.0524663 t=15081
shang mian 	上面	c=3 d=6.33133e-06 t=15081
shang nan lu 	上南路	c=1 d=2.78274e-11 t=15081
shang ni 	上你	c=1 d=2.77886e-24 t=15081
shang qu 	上去	c=1 d=1 t=14804
shang san fan si fu 	上三番四复	c=1 d=5.16219e-16 t=15081
shang xia wen 	上下文	c=2 d=0.362402 t=15081
shang xian 	上线	c=1 d=7.07836e-24 t=15081
shang xue 	上学	c=1 d=0.000480828 t=15081
shang yi ge 	上一个	c=2 d=4.2997e-11 t=15081
shang ying 	上映	c=1 d=4.44238e-14 t=15081
shang zhou 	上周	c=2 d=9.24374e-17 t=15081
shang zhou mo 	上周末	c=1 d=1.34706e-05 t=15081
shao 	少	c=1 d=2.69398e-12 t=15081
shao an wu zao 	稍安勿躁	c=1 d=0.000117391 t=15081
shao deng 	稍等	c=1 d=2.53969e-24 t=15081
shao dian 	少点	c=0 d=4.80322e-22 t=15081
shao kao 	勺靠	c=1 d=5.47377e-29 t=15081
shao kao jiang 	烧烤酱	c=0 d=0.152994 t=14928
shao kao jiang fen 	烧烤酱分	c=1 d=1 t=14929
shao kao jiang fen kuai su jian fei 	烧烤酱分快速减肥	c=1 d=1 t=14802
shao shui 	烧水	c=1 d=1.5994e-25 t=15081
she bei 	设备	c=4 d=0.0320863 t=15081
she ding 	设定	c=6 d=6.90352e-20 t=15081
she ji 	设计	c=4 d=0.000273284 t=15081
she li deng ji 	设立登记	c=0 d=1.76184e-17 t=15081
she li deng ji fen la sheng de ji fen 	设立登记分拉升的积分	c=1 d=1.77068e-16 t=15081
she qing 	社情	c=1 d=3.01297e-05 t=15081
she xiang tou 	摄像头	c=1 d=6.9706e-20 t=15081
she you 	舍友	c=3 d=7.9084e-05 t=15081
she zhi 	设置	c=11 d=0.0223854 t=15081
shei 	谁	c=4 d=3.27164e-08 t=15081
shei fu ze 	谁负责	c=1 d=0.0439369 t=15081
shei rang ni 	谁让你	c=1 d=1.82553e-22 t=15081
shei shuo 	谁说	c=1 d=1.30073e-05 t=15081
shei shuo de 	谁说的	c=1 d=6.21548e-24 t=15081
shei zhi 	谁知	c=0 d=1.23217e-16 t=15081
shei zhi qian 	谁知前	c=1 d=1.23835e-15 t=15081
shen 	神	c=1 d=1.56991e-12 t=15081
shen cai 	身材	c=1 d=5.09763e-15 t=15081
shen gao 	身高	c=1 d=1.37273e-20 t=15081
shen he 	审核	c=2 d=4.48638e-10 t=15081
shen ke li jie 	深刻理解	c=0 d=0.1 t=14941
shen ke li jie feng le ka shi da 	深刻理解封了卡士达	c=1 d=1 t=14942
shen me 	什么	c=32 d=1.41613 t=15081
shen mo 	神魔	c=0 d=1.54439e-26 t=15081
shen qing 	申请	c=14 d=0.0110844 t=15081
shen qing shu 	申请书	c=8 d=0.0581586 t=15081
shen shang 	身上	c=1 d=0.683861 t=15081
shen ti 	身体	c=3 d=8.34115e-14 t=15081
shen xu 	肾虚	c=2 d=0.0153752 t=15081
shen yang 	沈阳	c=3 d=2.66251e-20 t=15081
shen zhen 	深圳	c=1 d=1.80706e-20 t=15081
sheng 	声	c=1 d=0.00228818 t=15081
sheng 	生	c=2 d=2.79764e-09 t=15081
sheng cheng 	生成	c=11 d=0.148919 t=15081
sheng dan jie 	圣诞节	c=0 d=7.96022e-24 t=15081
sheng dao 	升到	c=1 d=7.15219e-17 t=15081
sheng dao fu li ke ji shou dao le kai fa 	升到复礼克己受到了开发	c=1 d=5.03474e-16 t=15081
sheng diao lun kuo 	声调轮廓	c=0 d=9.02012e-24 t=15081
sheng diao lun kuo fang jian li kuai su da ji fu 	声调轮廓房间里快速打击付	c=1 d=9.06533e-23 t=15081
sheng huo 	生活	c=1 d=2.86846e-15 t=15081
sheng ji 	升级	c=5 d=8.61121e-15 t=15081
sheng ling di kang jun 	圣灵抵抗军	c=0 d=1.11222e-17 t=15081
sheng ling di kang jun fen 	圣灵抵抗军分	c=1 d=1.1178e-16 t=15081
sheng ming 	声明	c=1 d=1 t=14852
sheng pi zi 	生僻字	c=1 d=5.31759e-12 t=15081
sheng wu 	生物	c=1 d=6.5466e-17 t=15081
sheng xia 	剩下	c=1 d=0.0471227 t=15081
shi 	事	c=5 d=0.316643 t=15081
shi 	使	c=1 d=1 t=14267
shi 	失	c=1 d=3.26724e-17 t=15081
shi 	市	c=1 d=7.00912e-26 t=15081
shi 	师	c=0 d=2.55112e-19 t=15081
shi 	式	c=1 d=5.06514e-28 t=15081
shi 	时	c=31 d=0.0254495 t=15081
shi 	是	c=64 d=2.55987 t=15081
shi ba 	是吧	c=1 d=0.213312 t=15081
shi bai 	失败	c=17 d=0.0299877 t=15081
shi bu 	是不	c=1 d=5.62399e-24 t=15081
shi bu shi 	是不是	c=15 d=0.163541 t=15081
shi cheng 	实诚	c=1 d=2.35578e-22 t=15081
shi chui 	石锤	c=1 d=7.55502e-26 t=15081
shi da fu 	士大夫	c=32 d=2.12614 t=15081
shi da fu di san fang 	士大夫第三方	c=1 d=1.53935e-16 t=15081
shi da fu fen shi da fu 	士大夫分士大夫	c=1 d=4.95978e-16 t=15081
shi da fu la sha de 	士大夫拉沙德	c=1 d=6.14088e-29 t=15081
shi da fu li kai jia 	士大夫离开家	c=2 d=4.16357e-26 t=15081
shi da fu sa dan 	士大夫撒旦	c=4 d=0.880001 t=15081
shi da fu sa dan fang shi 	士大夫撒旦方式	c=1 d=1.26031e-16 t=15081
shi da fu sa dan huang gong wang e gao shou fa shi da fu 	士大夫撒旦黄公望恶搞守法士大夫	c=1 d=1.09622e-22 t=15081
shi da fu sa dan shi 	士大夫撒旦时	c=1 d=1.55482e-16 t=15081
shi da fu san da 	士大夫三大	c=1 d=0.00178634 t=15081
shi da fu shi da fu sa dan 	士大夫士大夫撒旦	c=2 d=3.86037e-16 t=15081
shi da fu shi da fu sa dan feng shao feng 	士大夫士大夫撒旦冯绍峰	c=1 d=1.36528e-16 t=15081
shi da fu shi fen fan gan shu fu sa dan 	士大夫十分反感舒服撒旦	c=1 d=1 t=15058
shi da fu shi fou 	士大夫是否	c=1 d=4.90792e-10 t=15081
shi da shi 	实打实	c=1 d=2.3005e-08 t=15081
shi dai jun feng 	时代俊峰	c=1 d=4.47469e-26 t=15081
shi dai li fei kong jun si ling da kai fang jia 	是代理费空军司令打开放假	c=1 d=1 t=14779
shi de 	是的	c=0 d=2.40378e-25 t=15081
shi de ne 	是的呢	c=2 d=4.33819e-22 t=15081
shi dian dong che 	是电动车	c=1 d=9.97047e-25 t=15081
shi fa shi 	事发时	c=0 d=6.16565e-17 t=15081
shi fa shi ling dian ka fei jiu 	事发时零点咖啡就	c=1 d=5.00963e-16 t=15081
shi fang 	释放	c=3 d=6.42583e-25 t=15081
shi fen fan gan 	十分反感	c=0 d=0.1 t=15057
shi fen zhong 	十分钟	c=1 d=6.38714e-21 t=15081
shi fou 	是否	c=26 d=0.944954 t=15081
shi fou li kai jia 	是否离开家	c=1 d=1 t=14788
shi ge 	是个	c=5 d=5.32078e-05 t=15081
shi hao de 	是好的	c=1 d=1 t=13069
shi he 	适合	c=1 d=1.82429e-14 t=15081
shi he wo 	适合我	c=1 d=0.000207579 t=15081
shi hou 	事后	c=9 d=5.47918e-14 t=15081
shi hou 	时候	c=16 d=2.47346 t=15081
shi hou an zhuang 	时候安装	c=1 d=2.98137e-28 t=15081
shi ji an li 	实际案例	c=0 d=8.97513e-24 t=15081
shi ji an li da kai fa la sheng dai kuan jiu fen 	实际案例打开法拉盛贷款纠纷	c=1 d=9.02012e-23 t=15081
shi ji kai fa 	实际开发	c=1 d=1 t=14623
shi jia 	事假	c=1 d=2.16683e-09 t=15081
shi jia de 	是假的	c=1 d=8.25245e-06 t=15081
shi jian 	事件	c=5 d=9.053e-07 t=15081
shi jian 	时间	c=22 d=0.000465076 t=15081
shi jie 	世界	c=5 d=1.55484e-18 t=15081
shi ke yi 	是可以	c=1 d=2.91935e-16 t=15081
shi ken ding jian fei 	是肯定减肥	c=1 d=1 t=14918
shi la da ke fang jia sa la de kong jian 	时拉达克放假萨拉的空间	c=1 d=0.0103063 t=15081
shi lai ke 	史莱克	c=0 d=0.000180897 t=15081
shi lai ke fang jia 	史莱克放假	c=1 d=0.0218712 t=15081
shi lai ke fang jia suan le de 	史莱克放假算了的	c=1 d=1 t=14778
shi li 	实例	c=2 d=4.5343e-12 t=15081
shi li 	实力	c=0 d=2.23898e-13 t=15081
shi li chu shi hua 	实力初始化	c=1 d=2.2502e-12 t=15081
shi lian 	失恋	c=1 d=0.00319215 t=15081
shi lv dian ke ji fu lan ke 	是绿点科技弗兰克	c=1 d=1 t=14786
shi ma 	是吗	c=3 d=2.24013e-18 t=15081
shi mian 	失眠	c=1 d=2.00228e-21 t=15081
shi mian fei 	是免费	c=1 d=0.615697 t=15081
shi ming zhao huan 	使命召唤	c=2 d=1.99501 t=13188
shi na 	是那	c=0 d=1.73922e-12 t=15081
shi na yi kuan 	是那一款	c=1 d=1.74794e-11 t=15081
shi ni 	是你	c=1 d=1 t=13090
shi ni de 	是你的	c=1 d=4.3155e-26 t=15081
shi pin 	视频	c=3 d=5.58738e-06 t=15081
shi qiang 	十强	c=1 d=6.61578e-23 t=15081
shi qing 	事情	c=10 d=0.660353 t=15081
shi sha 	是啥	c=3 d=1.93111e-07 t=15081
shi shang duan fa 	时尚短发	c=1 d=2.17355e-16 t=15081
shi shei 	是谁	c=1 d=1.38903e-13 t=15081
shi shen me 	是什么	c=1 d=2.65342e-10 t=15081
shi shi 	实时	c=1 d=0.0397558 t=15081
shi shi 	试试	c=7 d=0.146607 t=15081
shi ta 	是他	c=0 d=0.008291 t=15081
shi ta ti chu 	是他提出	c=1 d=0.0833256 t=15081
shi tu 	视图	c=2 d=1.91851 t=14902
shi tu 	试图	c=2 d=0.373439 t=15081
shi wang 	失望	c=1 d=6.12755e-21 t=15081
shi wo 	是我	c=1 d=7.25755e-24 t=15081
shi wo de 	是我的	c=1 d=4.13417e-21 t=15081
shi wu cheng 	是武成	c=1 d=7.61797e-06 t=15081
shi xi 	实习	c=3 d=1.41345e-12 t=15081
shi xian lei 	实现类	c=1 d=1.13763e-17 t=15081
shi xiang 	事项	c=1 d=1 t=13217
shi xiao 	失效	c=3 d=2.53098e-13 t=15081
shi yang 	式样	c=0 d=3.12507e-24 t=15081
shi yang shu 	式样书	c=3 d=7.63804e-22 t=15081
shi yao 	是要	c=1 d=2.65613e-22 t=15081
shi yi ge 	是一个	c=1 d=6.90477e-26 t=15081
shi yi shi 	试一试	c=1 d=0.00474815 t=15081
shi yi xia 	试一下	c=1 d=1 t=14712
shi ying 	适应	c=1 d=1.03453e-17 t=15081
shi yong 	使用	c=67 d=1.36524 t=15081
shi yong lai 	是用来	c=1 d=6.72284e-06 t=15081
shi you zhi 	是有值	c=1 d=0.0223708 t=15081
shi yu 	食欲	c=1 d=1.38234e-15 t=15081
shi zai 	实在	c=2 d=9.24587e-19 t=15081
shi zai 	是在	c=1 d=4.29777e-07 t=15081
shi zhan 	实战	c=1 d=5.27186e-28 t=15081
shi zhe me 	是这么	c=0 d=0.0279431 t=15081
shi zhe yang 	是这样	c=1 d=5.97806e-07 t=15081
shi zi mo 	石子馍	c=1 d=0.0139818 t=15081
shou 	手	c=2 d=0.000151489 t=15081
shou 	瘦	c=1 d=1 t=15007
shou cang 	收藏	c=1 d=7.94238e-26 t=15081
shou dao le 	受到了	c=0 d=1.65686e-28 t=15081
shou dao le fu jin 	受到了附近	c=2 d=1.96912e-16 t=15081
shou dao le fu jin ai se lin dun 	受到了附近埃瑟林顿	c=1 d=5.62591e-28 t=15081
shou dao le fu jin shuo le de 	受到了附近说了的	c=1 d=1.8155e-16 t=15081
shou dao le ka fei ji a la shan kou 	受到了咖啡机阿拉山口	c=1 d=5.79724e-28 t=15081
shou dao le kai fa 	受到了开发	c=1 d=0.0010358 t=15081
shou dao le kai fa jiang 	受到了开发将	c=3 d=1.24153 t=14924
shou dao le kai fa jie bo 	受到了开发接驳	c=1 d=1.49152e-27 t=15081
shou dao le kai fa jiu a shang lan de fen jiu 	受到了开发就啊上篮得分就	c=1 d=3.17781e-14 t=15081
shou dong 	手动	c=1 d=0.00675605 t=15081
shou dong fa ding shen fen 	手动法定身份	c=1 d=0.0199405 t=15081
shou fa 	守法	c=0 d=1.09076e-23 t=15081
shou gan 	手感	c=1 d=1 t=13076
shou gou jia 	收购价	c=0 d=5.73956e-29 t=15081
shou hai zhe 	受害者	c=1 d=8.5595e-24 t=15081
shou hou 	售后	c=1 d=2.35258e-06 t=15081
shou hui 	售汇	c=3 d=5.52411e-10 t=15081
shou huo 	收获	c=2 d=1.03947e-06 t=15081
shou ji 	手机	c=11 d=0.000277223 t=15081
shou ji de 	手机的	c=1 d=2.11297e-07 t=15081
shou ji fei 	手机费	c=0 d=7.96022e-24 t=15081
shou ji fei sheng dan jie 	手机费圣诞节	c=1 d=8.00012e-23 t=15081
shou ji hao 	手机号	c=2 d=0.000889368 t=15081
shou ji ke 	手机壳	c=1 d=9.69259e-16 t=15081
shou jiang dian li 	授奖典礼	c=0 d=0.1 t=14921
shou jiang dian li feng kuang 	授奖典礼疯狂	c=1 d=1 t=14922
shou kong fang 	守空房	c=0 d=0.1 t=14169
shou kong fang jiang 	守空房将	c=1 d=1 t=14170
shou ku 	受苦	c=1 d=4.1235e-20 t=15081
shou kuan 	收款	c=0 d=2.75834e-26 t=15081
shou kuan hang 	收款行	c=1 d=2.77216e-25 t=15081
shou kuan ren 	收款人	c=1 d=9.71272e-11 t=15081
shou qu 	收取	c=1 d=0.000186888 t=15081
shou shi 	收拾	c=0 d=9.28059e-06 t=15081
shou si 	寿司	c=0 d=5.50121e-30 t=15081
shou xian 	首先	c=2 d=0.000259956 t=15081
shou xu 	手续	c=1 d=1.66241e-09 t=15081
shou xu fei 	手续费	c=3 d=0.0487841 t=15081
shu 	书	c=12 d=0.0111394 t=15081
shu 	数	c=2 d=0.0977834 t=15081
shu biao 	鼠标	c=1 d=0.00141589 t=15081
shu chu 	输出	c=8 d=2.08733e-10 t=15081
shu da gen shen 	树大根深	c=0 d=0.1 t=13164
shu da gen shen de 	树大根深的	c=1 d=1 t=13165
shu fu 	舒服	c=4 d=1.72198e-11 t=15081
shu fu sa dan 	舒服撒旦	c=1 d=0.088692 t=15081
shu ji 	书籍	c=1 d=7.26891e-13 t=15081
shu ju 	数据	c=98 d=3.49517 t=15081
shu ju dai fu kuan 	数据代付款	c=1 d=1 t=14169
shu ju ku 	数据库	c=19 d=4.64441e-09 t=15081
